CO_CND,NO2_CND,Rain,Wind,Temperature,CO-Delhi1,CO-Delhi2,CO-Delhi3,CO-Delhi4,CO-Delhi5,NO2-Delhi1,NO2-Delhi2,NO2-Delhi3,NO2-Delhi4,NO2-Delhi5
0.0380861,8.17E-05,0.000061441,3.4114,293.695,0.0380893,0.0319056,0.0390849,0.040505,0.0480599,0.000119437,9.93E-05,0.000135412,0.00012781,0.000213074
0.0323771,7.57E-05,1.90E-09,3.79912,293.05,0.0319056,0.0390849,0.040505,0.0480599,0.05281,9.93E-05,0.000135412,0.00012781,0.000213074,0.00063965
0.034341,9.33E-05,4.28E-08,2.62569,292.183,0.0390849,0.040505,0.0480599,0.05281,0.0507654,0.000135412,0.00012781,0.000213074,0.00063965,0.000281097
0.0399739,0.000108603,4.73E-08,1.72975,291.622,0.040505,0.0480599,0.05281,0.0507654,,0.00012781,0.000213074,0.00063965,0.000281097,
0.0416576,9.52E-05,2.04E-07,1.35226,291.548,0.0480599,0.05281,0.0507654,,,0.000213074,0.00063965,0.000281097,,0.000136118
0.0450582,0.000118555,4.36E-06,1.6578,291.542,0.05281,0.0507654,,,0.0458419,0.00063965,0.000281097,,0.000136118,0.000242735
0.0457839,8.80E-05,0.000105493,2.15141,291.674,0.0507654,,,0.0458419,0.0428748,0.000281097,,0.000136118,0.000242735,0.00029189
0.0345506,,7.28E-05,2.96832,292.507,,,0.0458419,0.0428748,0.0436592,,0.000136118,0.000242735,0.00029189,0.000322469
0.0325633,7.42E-05,4.59E-07,2.05744,291.916,,0.0458419,0.0428748,0.0436592,0.0423019,0.000136118,0.000242735,0.00029189,0.000322469,0.000109037
0.0366769,7.59E-05,0.000305003,1.73352,291.767,0.0458419,0.0428748,0.0436592,0.0423019,0.0379793,0.000242735,0.00029189,0.000322469,0.000109037,0.000125451
0.042533,0.000074984,0.003229057,2.1607,291.284,0.0428748,0.0436592,0.0423019,0.0379793,,0.00029189,0.000322469,0.000109037,0.000125451,
0.0377938,7.01E-05,0.016543318,2.37493,291.606,0.0436592,0.0423019,0.0379793,,,0.000322469,0.000109037,0.000125451,,
0.041007,6.47E-05,0.00289513,2.61971,290.592,0.0423019,0.0379793,,,,0.000109037,0.000125451,,,
0.0388573,6.37E-05,0.000348103,1.97719,290.021,0.0379793,,,,,0.000125451,,,,
