CO_CND,NO2_CND,Rain,Wind,Temperature,CO-Delhi1,CO-Delhi2,CO-Delhi3,CO-Delhi4,CO-Delhi5,NO2-Delhi1,NO2-Delhi2,NO2-Delhi3,NO2-Delhi4,NO2-Delhi5
0.0347279,8.26E-05,0.001594684,2.04371,296.969,0.0414919,0.0406927,0.0348542,,,0.000170352,0.000252326,0.000149548,,0.000166142
0.0348221,9.20E-05,1.43E-06,1.43758,297.219,0.0406927,0.0348542,,,0.0398164,0.000252326,0.000149548,,0.000166142,0.000317636
0.0354752,9.02E-05,1.63E-06,1.57437,296.948,0.0348542,,,0.0398164,0.0356763,0.000149548,,0.000166142,0.000317636,0.000181573
0.0341714,,3.20E-06,1.91997,297.42,,,0.0398164,0.0356763,0.0398197,,0.000166142,0.000317636,0.000181573,0.000172757
0.0344661,8.69E-05,5.27E-07,1.78626,297.697,,0.0398164,0.0356763,0.0398197,0.050452,0.000166142,0.000317636,0.000181573,0.000172757,0.000189747
0.039496,0.000108889,1.49E-05,2.39253,298.295,0.0398164,0.0356763,0.0398197,0.050452,0.0451558,0.000317636,0.000181573,0.000172757,0.000189747,0.000195757
0.0361158,9.88E-05,0.000139531,1.98131,298.062,0.0356763,0.0398197,0.050452,0.0451558,0.0448757,0.000181573,0.000172757,0.000189747,0.000195757,0.000174737
0.0374032,9.33E-05,0.00040689,2.29436,297.915,0.0398197,0.050452,0.0451558,0.0448757,0.0380569,0.000172757,0.000189747,0.000195757,0.000174737,0.000135649
,8.77E-05,4.66E-05,1.92838,297.366,0.050452,0.0451558,0.0448757,0.0380569,0.0384337,0.000189747,0.000195757,0.000174737,0.000135649,0.000183372
0.0318454,9.54E-05,1.24E-05,1.87129,296.771,0.0451558,0.0448757,0.0380569,0.0384337,0.0603956,0.000195757,0.000174737,0.000135649,0.000183372,
0.0380433,0.000103402,2.45E-06,1.68155,295.977,0.0448757,0.0380569,0.0384337,0.0603956,0.0529434,0.000174737,0.000135649,0.000183372,,0.000318285
0.0367407,0.000105491,0.000024523,1.71446,296.128,0.0380569,0.0384337,0.0603956,0.0529434,0.0456224,0.000135649,0.000183372,,0.000318285,0.000189892
0.036009,0.000100609,5.24E-05,1.8963,296.278,0.0384337,0.0603956,0.0529434,0.0456224,,0.000183372,,0.000318285,0.000189892,0.000193657
0.0360399,,9.60E-06,2.28226,295.966,0.0603956,0.0529434,0.0456224,,0.0442316,,0.000318285,0.000189892,0.000193657,0.000138741
0.0493499,0.000101891,0.000130944,2.02214,296.226,0.0529434,0.0456224,,0.0442316,0.0492597,0.000318285,0.000189892,0.000193657,0.000138741,0.000188435
0.0461136,0.000103566,0.000442286,1.36855,296.194,0.0456224,,0.0442316,0.0492597,0.0626346,0.000189892,0.000193657,0.000138741,0.000188435,0.000486822
0.0511707,0.00010447,1.90E-05,1.35229,296.184,,0.0442316,0.0492597,0.0626346,0.046925,0.000193657,0.000138741,0.000188435,0.000486822,0.000152244
0.0488611,0.000111789,0,1.55318,296.051,0.0442316,0.0492597,0.0626346,0.046925,0.0454091,0.000138741,0.000188435,0.000486822,0.000152244,0.000135817
